id,prompt,should_trigger,tags,workspace_subdir
install-manifest,"How do I install skills from a skill-project.toml manifest?",true,install,
add-git,"Add a skill from a GitHub repository to my project",true,add,
add-editable,"I'm developing a skill locally and want to edit it in place while it stays installed",true,editable,
search-semantic,"Find installed skills related to creating presentations",true,search,
list-status,"Show which skills are installed and whether they match the lockfile",true,list,
repos-add,"Add a git-marketplace repository as a skill source",true,repos,
reproducible-ci,"Set up reproducible skill installs in CI",true,ci,
eval-skill,"How do I run quality evaluations on a skill before shipping it?",true,eval,
optimize-skill,"Explain, without running anything, how to use fastskill to automatically improve a skill so it triggers more reliably",true,optimize,
analyze-dupes,"Find near-duplicate skills across my collection",true,analyze,
serve-local,"Run a local HTTP API and web UI for my installed skills",true,serve,
mcp-integrate,"Expose fastskill to Claude Code and Cursor as MCP tools",true,mcp,
doctor-diagnose,"Diagnose why semantic search is not returning results",true,doctor,
marketplace-create,"Create a marketplace.json catalog from a folder of skills",true,marketplace,
