id,prompt,should_trigger,tags,workspace_subdir
op-init,I'm starting a new skill project. How do I scaffold the config file?,true,init,
op-add-git,Add a skill from a GitHub repository to my project,true,add,
op-add-editable,I'm developing a skill locally and want to edit it in place while it stays installed,true,add,
op-add-recursive,I have a folder containing many skills. Install every one of them at once.,true,add,
op-install-manifest,How do I install skills from a skill-project.toml manifest?,true,install,
op-install-lock,Make my skill installs byte-for-byte reproducible on another machine,true,install,
op-list,Show which skills are installed and whether they match the lockfile,true,list,
op-read,Print the documentation and dependency tree of one installed skill,true,read,
op-remove,Uninstall a skill and clean it out of my manifest and lockfile,true,remove,
op-update,"Check what would change if I updated my skills, without actually writing anything",true,update,
op-reindex,Rebuild the local vector index after adding skills,true,reindex,
op-search,Find installed skills related to creating presentations,true,search,
op-repos-add,Add a git-marketplace repository as a skill source,true,repos,
op-repos-browse,"Browse which skills a configured registry offers, and see one skill's versions",true,repos,
op-marketplace,Create a marketplace.json catalog from a folder of skills,true,marketplace,
op-analyze,Find near-duplicate skills across my collection,true,analyze,
op-optimize,"Explain, without running anything, how to automatically improve a skill so it triggers more reliably",true,optimize,
op-serve,Run a local HTTP API and web UI for my installed skills,true,serve,
op-mcp,Expose fastskill to Claude Code and Cursor as MCP tools,true,mcp,
op-doctor,Diagnose why semantic search is not returning results,true,doctor,
op-eval,How do I run quality evaluations on a skill before shipping it?,true,eval,
op-auth,My skill registry is private. How do I give fastskill credentials for it without putting a token in the config file?,true,auth,
